Observation,TextUrn,Image,Comments
urn:cite:op:hmt12C.1,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@τ,"urn:cite:hmt:vaimg.VA155VN-0657@0.5025,0.2427,0.017,0.006",
urn:cite:op:hmt12C.2,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@ό,"urn:cite:hmt:vaimg.VA155VN-0657@0.5145,0.2307,0.015,0.0195",
urn:cite:op:hmt12C.3,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@λ,"urn:cite:hmt:vaimg.VA155VN-0657@0.5245,0.2359,0.018,0.015",
urn:cite:op:hmt12C.4,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@μ,"urn:cite:hmt:vaimg.VA155VN-0657@0.5425,0.2367,0.014,0.0173",
urn:cite:op:hmt12C.5,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@ω,"urn:cite:hmt:vaimg.VA155VN-0657@0.5576,0.2359,0.011,0.012",
urn:cite:op:hmt12C.6,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@ν,"urn:cite:hmt:vaimg.VA155VN-0657@0.5676,0.2344,0.017,0.018",
urn:cite:op:hmt12C.7,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@ὠ,"urn:cite:hmt:vaimg.VA155VN-0657@0.5866,0.2329,0.016,0.015",
urn:cite:op:hmt12C.8,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@κ,"urn:cite:hmt:vaimg.VA155VN-0657@0.6016,0.2292,0.017,0.0218",
urn:cite:op:hmt12C.9,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@ύ,"urn:cite:hmt:vaimg.VA155VN-0657@0.6146,0.2299,0.016,0.0285",
urn:cite:op:hmt12C.10,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@π,"urn:cite:hmt:vaimg.VA155VN-0657@0.6296,0.2359,0.013,0.0158",
urn:cite:op:hmt12C.11,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@ο,"urn:cite:hmt:vaimg.VA155VN-0657@0.6416,0.2389,0.01,0.0105",
urn:cite:op:hmt12C.12,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@δ,"urn:cite:hmt:vaimg.VA155VN-0657@0.6496,0.2299,0.012,0.0188",
urn:cite:op:hmt12C.13,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@εσ,"urn:cite:hmt:vaimg.VA155VN-0657@0.6597,0.2314,0.018,0.0165",
urn:cite:op:hmt12C.14,urn:cts:greekLit:tlg0012.tlg001.msA:12.51@μ[2],"urn:cite:hmt:vaimg.VA155VN-0657@0.6827,0.2299,0.02,0.0233",
urn:cite:op:hmt12C.15,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ά,"urn:cite:hmt:vaimg.VA155VN-0657@0.6977,0.2254,0.019,0.0308",
urn:cite:op:hmt12C.16,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@λ[2],"urn:cite:hmt:vaimg.VA155VN-0657@0.7057,0.2307,0.019,0.021",
urn:cite:op:hmt12C.17,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@α,"urn:cite:hmt:vaimg.VA155VN-0657@0.7187,0.2337,0.019,0.0165",
urn:cite:op:hmt12C.18,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@δ[2],"urn:cite:hmt:vaimg.VA155VN-0657@0.7347,0.2292,0.019,0.018",
urn:cite:op:hmt12C.19,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ὲ,"urn:cite:hmt:vaimg.VA155VN-0657@0.7427,0.2276,0.02,0.021",
urn:cite:op:hmt12C.20,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@χ,"urn:cite:hmt:vaimg.VA155VN-0657@0.7558,0.2314,0.022,0.0225",
urn:cite:op:hmt12C.21,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ρ,"urn:cite:hmt:vaimg.VA155VN-0657@0.7738,0.2359,0.014,0.0143",
urn:cite:op:hmt12C.22,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ε,"urn:cite:hmt:vaimg.VA155VN-0657@0.7868,0.2292,0.019,0.0225",
urn:cite:op:hmt12C.23,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@μ[3],"urn:cite:hmt:vaimg.VA155VN-0657@0.8008,0.2329,0.017,0.0195",
urn:cite:op:hmt12C.24,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@έτ,"urn:cite:hmt:vaimg.VA155VN-0657@0.8128,0.2269,0.016,0.024",
urn:cite:op:hmt12C.25,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ι,"urn:cite:hmt:vaimg.VA155VN-0657@0.8258,0.2329,0.011,0.0188",
urn:cite:op:hmt12C.26,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ζ,"urn:cite:hmt:vaimg.VA155VN-0657@0.8328,0.2329,0.011,0.0248",
urn:cite:op:hmt12C.27,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ο[2],"urn:cite:hmt:vaimg.VA155VN-0657@0.8428,0.2337,0.009,0.0165",
urn:cite:op:hmt12C.28,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ν[2],"urn:cite:hmt:vaimg.VA155VN-0657@0.8488,0.2322,0.015,0.018",
urn:cite:op:hmt12C.29,urn:cts:greekLit:tlg0012.tlg001.msA:1.51@ἐ
